1,Mandarorian,Western Espacial,14,Disney Plus,42,3, 8 8 8
2,The Witcher,Drama,18,Netflix,55,2, 8 8
3,Peaky Blinders,Drama,16,Netflix,56,6,6 6 6 6 6 6
4,Sandman,Fantasia,18,Netflix,48,1,11
5,House of The Dragon,Drama,16,HBO Max,60,1,10
6,Succession,Humor acido,16,HBO Max,60,4,10 10 9 7
7,The Last Of Us,Drama,16,HBO Max,57,1,9
8,Aneis de Poder,Fantasia,14,Prime Video,68,1,8
9,Mr.Robot,Suspense,16,Prime Video,49,4,10 12 10 13
10,Perifericos,Ficcao Cientifica,14,Prime Video,56,1,8
11,Obi-Wan Kenobi,Ficcao Cientifica,14,Disney Plus,52,1,6
12,Grey's Anatomy,Drama medico,14,Star Plus,43,19,9 27 25 17 24 24 22 24 24 24 25 24 24 24 25 21 17 20 20
13,Flash,Ficcao Cientifica,13,Netflix,42,9,23 23 23 23 22 19 18 18 18
14,The Good Place,Comedia,16,Netflix,90,4,13 13 13 14
15,Round 6,Acao,16,Netflix,60,1,9
16,The Boys,Humor acido,18,Prime Video,55,3,8 8 8
17,She Hulk,Comedia,14,Disney Plus,35,1,9
18,Velma,Comedia,16,HBO Max,26,1,10
19,Dark,Drama,16,Netflix,52,3,10 8 8
20,Breaking Bad,Drama,16,Netflix,55,5,7 13 13 13 16
21,Desventuras em Serie,Humor acido,12,Netflix,50,3,8 10 7
22,Insatiable,Comedia,16,Netflix,45,2,12 10
23,Dexter,Drama,0,Paramount,43,8,12 12 12 12 12 12 12 12
24,Ben 10,Acao,0,HBO Max,22,4,13 13 13 13
25,Wandinha,Fantasia,16,Netflix,50,1,8
26,Game of Thrones,Fantasia,18,HBO Max,60,8,10 10 10 10 10 10 10 10
27,Cidade invisivel,Drama,14,Netflix,40,1,7
28,Brookly nine-nine,Comedia,14,Netiflix,20,8,22 23 23 22 22 18 13 10
29,Kick Buttowiski,Comedia,0,Disney Plus,23,2,20 26
30,Gambito da Rainha,Ficcao,16,Netflix,55,1,7
31,Primal,Terror/Drama,14,Netflix,20,2,10 10
32,Peppa Pig,Crianca,0,Netflix,20,6,13 13 6 7 7 7
33,Um maluco no pedaco,comedia,0,HBO Max,22,6,25 24 24 26 25 24
34,The Walking Dead,Terror,18,Netflix,45,10,6 13 16 16 16 16 16 16 16 22
35,Mundo Misterio,Documentario,0,Netflix,26,1,8
36,Cobra Kai,Acao,14,Netflix,30,5,10 10 10 10 10 
37,Missa da meia-noite,Terror,14,Netflix,64,1,7
38,Andor,Acao,14,Disney Plus,50,1,12
39,Drive to Survive: Dirigir para viver (F1),Documentario,12,Netflix,50,5,10 10 10 10 10
40,Alice In Borderland,Ficcao Cientifica,16,Netflix,50,2,8 8
41,Legend of Vox Machina,Fantasia,16,Netflix,30,2,12 12
42,Arremesso Final,Documentario,12,Netflix,51,1,10
43,Love  Death & Robots,Ficcao Cientifica,18,Netflix,21,3,18 8 9
44,True Detective,Drama,16,HBO max,55,3,8 8 8
45,You,Drama,18,Netflix,50,4,10 10 10 10
46,Heartstopper,Drama,12,Netflix,30,1,8
47,Fundacao,Ficcao Cientifica,16,Apple Tv,60,1,10
48,La casa de papel,Drama,16,Netflix,47,5,13 9 8 8 10
49,The office,Comedia,12,Prime video,30,9,6 22 25 19 28 26 27 24 27
50,Twin Peaks,Misterio,14,Prime video,45,3,8 22 18
51,Black Mirror,Ficcao Cientifica,18,Netflix,59,5,3 6 6 4 3
52,House MD,Drama Medico,14,HBO max,49,8,22 24 24 16 24 21 23 22
53,My Mad Fat Diary,Comedia,16,Prime Video,45,3,6 7 3
54,How I Met Your Mother,Comedia,12,Star Plus,23,9,22 22 20 24 24 24 24 24 24
55,Always Sunny In Philadelpiha,Comedia,16,Hulu,25,15,7 10 15 13 12 14 13 10 10 10 10 10 10 10 8
56,Vikings,Drama,16,Netflix,45,6,9 10 10 20 20 20
57,Lucifer,Misterio,14,Netflix,43,6,13 18 26 10 16 10
58,Stranger Things,terror,16,Netflix,50,4,8 9 8 9
59,Ted lasso,Comedia,14,Apple tv,55,3,10 12 8
60,Orange is the new black,drama,16,Netflix,57,7,13 13 13 13 13 13 13
61,Planeta Sheen,Comedia,0,Pluto TV,24,1,26
62,teen wolf,Fantasia,16,Netflix,40,6,12 12 24 12 20 20
63,the 100,Ficcao Cientifica,16,Netflix,41,7,13 16 16 13 13 13 16
64,Comunnity,Sitcom,12,Netflix,21,6,25 23 22 13 13 13
65,The Midnight Gospel,Fantasia Cientifica,18,Netflix,30,1,8
66,Dahmer: Um Canibal Americano,Documentario,18,Netflix,55,1,10
67,Wanda vision,Sitcom,14,Disney+,39,1,9
68,Arrow,Drama,16,Netflix,42,8,23 23 23 23 23 23 22 10
69,Clark,Acao,16,Netflix,61,1,6
70,30 Moedas,Terror,18,HBO Max,50,1,8
71,American Horror Story,Terror,18,Star Plus,60,11,12 13 13 13 12 10 11 10 9 10 10
72,All os Us Are Dead,Terror,18,Netflix,53,1,12
73,Skam Noruega,Drama,16,NRK TV,37,4,11 12 10 10
74,Jimmy Neutron,Comedia,0,Paramount+,24,3,20 20 19
75,Loki,Fantasia,12,Disney Plus,50,1,6
76,Todo mundo odeia o chris,Comedia,10,Prime Video,20,4,22 22 22 22
77,The Sopranos,Crime Drama,16,HBO max,50,6,13 13 13 13 13 21
78,Friends,Comedia/Romance,12,HBO Max,25,10,24 24 25 24 24 25 24 24 24 18
79,Nathan for You,Comedia,16,Prime Video,30,4,8 8 8 7
80,Rick and Morty,Comedia,16,HBO Max,30,6,11 10 10 10 10 10
81,Bridgerton,Drama,16,Netflix,60,2,8 8
82,KND - A Turma do Bairro,Comedia,0,HBO Max,23,6,13 13 13 13 13 13
83,As Aventuras de Jackie Chan,Acao,0,Pluto TV,30,5,13 39 17 13 13
84,Night Stalker,Terror,18,Netflix,47,1,4
85,Dois homens e meio,Comedia,12,Prime Video,22,12,24 24 24 24 19 24 22 16 24 23 22 16
86,The Crown,Drama,14,Netflix,60,5,10 10 10 10 10
87,Arcane,Acao,14,Netflix,40,1,9
88,Resident Evil: No Escuro Absoluto,Fantasia,16,Netflix,27,1,4
89,1899,Terror,16,Netflix,50,1,8
90,RWBY,Acao,12,Crunchyroll,26,9,16 12 12 12 14 13 13 14 10
91,Suits,Drama,14,Netflix,40,9,12 16 16 16 16 16 16 16 10
92,Under the Dome,Misterio,14,Paramount Plus,43,3,13 13 13
93,Carnival Row,Suspense / Fantasia,16,Prime Video,55,2,8 10
94,Super Onze,Infantil,0,Prime video,20,1,78
95,Treta,Comedia,18,Netflix,30,1,10
96,Como vender drogas online,Humor,16,Netflix,33,3,6 6 6
97,Chicago Fire,Drama / Acao,16,Prime Video,40,8,24 22 24 23 22 23 22 20
98,The Society,Drama,14,Netflix,60,1,10
99,Power Rangers (1993),Acao,0,Netflix,30,3,60 52 43
100,Demolidor,Acao,18,Netflix,54,3,13 13 13
101,The Twilight Zone (1959),Terror,12,Paramount Plus,60,5,36 29 37 18 36
102,Black Summer,Terror,16,Netflix,40,2,8 8
103,Conversando com um serial killer,Documentario,18,Netflix,62,1,3
104,The Terror,Drama,16,Prime Video,43,2,10 10
105,Don't F**k with Cats,Documentario,16,Netflix,62,1,3
106,The Handmaid's Tale,Drama / Suspense,16,Star Plus,60,4,10 13 13 10
107,Hackers,Documentario,12,Prime Video,24,2,10 11
108,F1: Dirigir para viver,Documentario,12,Netflix,40,5,10 10 10 10 10
109,Kenan e Kel,Comedia,0,Pluto TV,30,4,14 13 22 13
110,Narcos,Drama,16,Netflix,50,3,10 10 10
111,Sintonia,Drama,16,Netflix,40,3,6 6 6
112,LOL: Se rir  ja era,Comedia,14,Prime Video,30,2,6 6 
113,Moradores Indesejados,Documentario,14,Netflix,54,1,5
114,Ozark,Suspense,16,Netflix,60,4,10 10 10 14
115,Procurados - EUA,Documentario,16,Netflix,56,1,3
116,The Purge,Ficcao Cientifica,18,Prime Video,40,2,10 10
117,Como se Tornar um Tirano,Documentario,16,Netflix,27,1,6
118,Znation,Acao,16,Netflix,30,5,13 15 15 13 13
119,Ponto de Virada,Documentario,16,Netflix,61,1,5
120,Jeffrey Epstein: Poder e Perversao,Documentario,18,Netflix,55,1,4
121,Homem-Aranha: Acao Sem Limites,Acao,0,Disney+,22,1,13
122,Na Cola dos Assassinos,Documentario,16,Netflix,35,2,4 4
123,Neymar: O Caos Perfeito,Documentario,14,Netflix,56,1,3
124,Cosmos (2014),Documentario,0,Disney Plus,60,1,13
125,O homem do castelo alto,Acao,16,Prime Video,60,4,10 10 10 10
126,Como FIcar Rico,Documentario,10,Netflix,33,1,8
127,Mindhunter,Suspense,18,Netflix,50,2,10 9
128,Nosso Planeta,Documentario,10,Netflix,50,1,8
129,A Maldicao da Residência Hill,Terror,16,Netflix,50,1,10
130,Conversando com um serial killer TB,Documentario,16,Netflix,58,1,4
131,Enigma do Universo,Documentario,10,Netflix,42,1,6
132,Tattooed Teenage Alien Fighters from Beverly Hills,Superhero,0,The Pirate Bay,30,1,40
133,Filmes que Marcam epoca,Documentario,18,Netflix,46,3,4 4 8
134,Por dentro das prisões mais severas do mundo,Documentario,16,Netflix,44,6,4 4 44 3 4 4
135,Gênio Diaólico,Crime Real,16,Netflix,47,1,4
136,Trato Feito,Documentario,10,Prime Video,23,19,25 33 30 38 30 28 34 46 52 47 42 45 29 30 30 20 25 14 13 
137,Revelacões Pre-Históricas,Documentario,12,Netflix,30,1,8
138,Chaves (Animacao),Comedia/Animacao,0,Prime Video,26,7,26 52 26 22 15 13 7
139,Imperio Romano,Documentario,16,Netflix,46,3,6 5 4
140,O Código Bill Gates,Documentario,12,Netflix,52,1,3
141,Corpo Humano: Nosso Mundo Interior,Documentario,12,Netflix,52,1,6
142,Sonic X,Acao,0,Prime Video,30,3,46 6 26
143,Matchday: FC Barcelona,Documentario,14,Netflix,42,1,8
144,Sunderland Ate Morrer,Documentario,12,Netflix,41,2,8 6
145,Filhotes Selvagens,Documentario,10,Netflix,29,1,8
146,Utopia,Suspense,18,Prime Video,50,1,8
147,Abstract: The Art of Design,Documentario,12,Netflix,44,2,8 6
148,Alf  o Eteimoso,Comedia/Sitcom,0,HBO Max,30,4,26 26 26 24
149,Arquivo X,Misterio,14,Star +,44,11, 20 20 20 20 20 20 20 20 20 20 20 
150,Supernatural,Suspense/Acao,14,HBO/Prime Video,44,15,21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 
151,Sombras e ossos,Fantasia,16,Netflix,44,2,8 8
152,The Big Bang Theory,Comedia,12,HBO Max,22,12,17 23 23 24 24 24 24 24 24 24 24 24
153,How I met your father,Comedia,14,Hulu,30,1,10
154,Seinfeld,Comedia,14,Hulu,22,9,22 24 24 22 22 24 24 22 24
155,Friends Reunion,Comedia,12,HBO Max,45,1,1
156,Two and a Half Men,Comedia,16,Hulu,22,12,24 24 24 24 22 22 16 16 22 22 22 16
157,Modern Family,Comedia,14,Hulu,22,11,24 24 24 24 24 24 24 22 22 22 22
158,New Girl,Comedia,14,Netflix,22,7,24 25 23 22 22 8 8
159,The Mindy Project,Comedia,16,Hulu,16,6,24 22 21 26 13 10
160,The Nanny,Comedia,12,HBO Max,22,6,22 26 26 26 26 22
161,The King of Queens,Comedia,12,Hulu,22,9,25 25 25 25 24 24 20 22 31
162,Parks and Recreation,Comedia,14,Peacock,22,7,6 24 16 22 22 22 13
163,Scrubs,Comedia,14,Hulu,22,9,24 22 25 24 22 13 6 12 13
164,Community,Comedia,14,Netflix,22,6,25 24 22 13 13 13
165,It's always sunny in Philadelphia,Comedia,18,Hulu,22,14,7 10 13 12 12 13 12 10 10 10 10 10 10 10
166,Drake & Josh,Comedia,7,Paramount +,24,4,6 14 17 19
167,Alienigenas do Passado,Documentario,0,Pluto TV,42,19,5 10 16 10 12 11 8 9 12 10 15 16 15 22 12 14 7 20 10
168,Phineas e Ferb,Comedia,0,Disney +,15,4,26 38 35 31 
179,The Marvelous Mrs. Maisel,Comedia Dramatica,14,Prime video,60,4,8 10 8 8 
170,Fargo,Crime,18,Prime video,60,4, 10 10 10 11
171,Familia moderna,Sitcom,12,Star +,22,11,24 24 24 24 24 24 22 22 22 22 18
172,The Haunting of Bly Manor,Drama,16,Netflix,65,1,9
173,The Haunting of Hill House,Terror,16,Netflix,60,1,10
174,Locke e Key,Terror,14,Netflix,45,3,10 10 8
175,Westworld,Ficcao Cientifica,18,HBO Max,60,4,10 10 8 8
176,Silicon Valley,Comedia,16,HBO Max,30,6, 8 10 10 10 8 7
177,Dr. House,Drama Misterio,14,Prime video,45,8,22 24 24 16 24 21 23 22
178,Sex Education,Drama,16,Netflix,55,3,8 8 8
179,Zack & Cody: Gêmeos a Bordo,Sitcom,0,Disney +,25,3,21 28 22
180,The Punisher,Acao,16,Disney +,55,2,13 13
181,Daredevil,Ficcao Cientifica,16,Disney +,50,3,13 13 10
182,House of Cards,Drama,18,Netflix,50,6,13 13 13 13 13 8
183,The Good Doctor,Drama medico,12,Globo Play,45,6,18 18 20 20 18 22
184,Sherlock,Crime,16,Prime video,90,4,3 3 3 3
185,Apenas um Show,Comedia,12,HBO Max,23,8,12 28 39 37 37 30 36 27
186,Lost,Drama,16,Star +,44,6,25 24 23 14 17 18
187,Shameless,Comedia,16,HBO,44,11,12 12 12 12 12 12 12 12 12 12 12
188,This is us,Drama,16,Star +,44,6,18 18 18 18 18 18
189,Family guy,Sitcom,14,Star +,20,20,23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23
190,That '70s  show,Sitcom,0,Prime Video,20,8,25 25 25 25 25 25 25 25
191,Homeland,Policial,16,Star +,46,8,12 12 12 12 12 12 12 12
192,Better Call Saul,Drama,14,Netflix,44,5,10 10 10 10 10
193,Os Simpsons,Sticom,0,Star +,20,34,24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 
194,Solar Opposites,Ficcao cientifica,16,Star,22,3,12 12 12
195,Fear The Walking Ddead,Suspense,16,Prime Video,44,6,6 15 16 16 16 16  
196,American Horror Stories,Suspense,16,Star +,44,12,12 12 12 12 12 12 12 12 12 12 12 12
197,Legion,Acao,14,Netflix,44,3,6 6 6
198,Futurama,Sitcom,16,Star +,20,7,20 20 20 20 20 20 20
199,Superman & Lois,Acao/Super Heroi,14,HBO,44,3,15 15 15
200,Fleabag,Comedia,16,Prime video,26,2,6 6
201,invincible,Acao,18,Prime video,45,1,8
202,Big mouth,Comedia,16,Netflix,25,6,10 10 10 10 10 10
203,The end of the f***ing world,Drama,16,Netflix,22,2,8 8
204,Desencanto,Comedia,14,Netflix,30,4,10 10 10 10
205,Avatar: a lenda de Aang,Acao,10,Netflix,25,3,20 20 20
206,Euphoria,Drama,18,Prime Video,60,2,8 8 
207,The bear,Drama,16,Star +,30,1,8
208,Drama total,Comedia,10,Netflix,22,2,27 27
209,Gilmore Girls:tal mae  tal filha,Drama,12,Netflix,45,4,21 21 21 21
210,Chernobyl,Drama,16,HBO Max,60,1,5
211,Eu  a patroa e as criancas,Comedia,10,Star Plus,21,5,12 28 27 30 26
212,What If...?,Sci-Fi,14,Disney Plus,35,1,9
213,Bob Esponja,Comedia,0,Prime Video,22,13,20 20 20 20 20 26 26 26 26 11 26 26 26 
214,iCarly,Comedia,10,Paramount Plus,30,7,25 25 20 13 11 6 9
215,Jovem Sheldon,Comedia,12,HBO Max,20,6,22 22 21 18 22 18
216,Sweet Tooth,Drama,14,Netflix,45,2,8 8
217,South Park,Comedia,16,Prime Video,20,26,13 18 17 17 14 17 15 14 14 14 14 14 14 14 14 14 10 10 10 10 10 10 10 2 6 6
218,Black Knight,Acao,16,Netflix,44,1,6
219,Coragem  cao covarde,Comedia,0,HBO Max,22,4,13 13 13 13
220,Manifest,Drama,14,Netflix,42,4,16 13 13 10
221,Outlander,Drama,16,Netflix,60,6,16 13 13 13 12 8
222,Marianne,Terror,16,Netflix,45,1,8
223,My name,Acao,16,Netflix,45,1,8
224,Daybreak,Comedia,16,Netflix,45,1,10
225,Taboo,Drama,16,Netflix,59,1,8
226,Kingdom,Drama,16,Netflix,50,2,6 6
227,All of Us Are Dead,Drama,18,Netflix,66,1,12
228,Profecia do inferno,Policial,18,Netflix,53,1,6
229,The expanse,Ficcao cientifica,16,Prime Video,50,6,10 13 13 10 10 6
230,Mad Men,Drama,16,HBO Max,48,7,13 13 13 13 13 13 14
231,A Batalha dos 100,Reality Show,12,Netflix,60,1,9
232,Mr. Robot,Suspense / Drama,16,Prime Video,50,4,10 12 10 13
233,Sense8,Ficcao cientifica,18,Netflix,55,2,12 12
234,Jornada nas Estrelas: A Nova Geracao,Ficcao cientifica,0,Netflix,44,7,25 22 26 26 26 26 25 
235,CSI: Miami,Acao,14,Paramount +,43,10,24 24 24 25 24 21 25 24 22 19
236,O Rancho,Comedia,14,Netflix,30,4,20 20 20 20 
237,Yellowstone,Drama,18,Paramount +,60,5,9 10 10 10 9
238,Manda Chuva,Comedia,0,HBO Max,30,1,30
239,O Fantastico Jaspion,Acao,14,Prime Video,30,1,46
240,O Rei do Gado,Drama,10,Globoplay,60,1,218
241,Cheias de Charme,Drama,10,Globoplay,44,1,143
242,Irmaos de Guerra,Drama,14,HBO Max,60,1,10
243,Brilhante Victoria,Comedia,10,Nicklodeon,24,4,20 14  13  13
244,Luna nera,Drama,14,Netflix,40,1,6
245,Love alarme,Drama,16,Netflix,40,2,8  6
246,Rainha charlote,Drama,16,Netflix,50,1,6
247,Veep,Comedia/Politica,12,HBO,30,7,8  10  10  10  10  10  7
248,Lovecraft Country,Drama/Terror,16,HBO,50,1,10
249,Sam  & cat,Comedia,10,Nicklodeon,24,1,24
250,Girl from nowhere,Suspence,16,Netflix,40,2,13 13
251,Upload,Ficcao,16,Amazon Prime,30,2,10 7
252,Os Aneis de Poder,Ficcao,16,Amazon Prime,60,1,4
253,Big time Rush,Comedia,16,Nicklodeon,23,4,20 29 12 13
254,It´s okay not to be okay,Comedia,12,Netflix,70,1,16
255,moon knigth,Acao/Aventura,12,Disney+,44,1,6
256,Mila no multiverso,Comedia,10,Disney+,212,1,8
257,ms. Marvel,Acao/Aventura,12,Disney+,47,1,6
258,shadowhunters,Ficcao,14,Netflix,40,4,13 20 10 1
